sample_uid,sample_name,sample_type,collection_latitude,collection_longitude,collection_depth,Site,timepoint,id,Barcode,full_id,collection_date,coral_species,transplant_group,native_site,transplant_site,native_transplant,home_foreign,parent
198266,B8CW22,coral_field,12.07093,-68.8585,1,,T1,B8CW22,B8,51HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,41DBSS
198267,B9CW22,coral_field,12.07093,-68.8585,1,,T1,B9CW22,B9,52HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,42DBSS
198268,B10CW22,coral_field,12.07093,-68.8585,1,,T1,B10CW22,B10,53HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,43DBSS
198269,B11CW22,coral_field,12.07093,-68.8585,1,,T1,B11CW22,B11,54HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,44DBSS
198270,B12CW22,coral_field,12.07093,-68.8585,1,,T1,B12CW22,B12,55HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,45DBSS
198271,C1CW22,coral_field,12.07093,-68.8585,1,,T1,C1CW22,C1,56HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,46DBSS
198272,C2CW22,coral_field,12.07093,-68.8585,1,,T1,C2CW22,C2,57HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,47DBSS
198273,C3CW22,coral_field,12.07093,-68.8585,1,,T1,C3CW22,C3,58HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,48DBSS
198274,C4CW22,coral_field,12.07093,-68.8585,1,,T1,C4CW22,C4,59HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,49DBSS
198275,C5CW22,coral_field,12.07093,-68.8585,1,,T1,C5CW22,C5,60HBSX,22-Nov,Siderastrea siderea,Bay Native,Bay,Bay,Native,Home,50DBSS
198296,E2CW22,coral_field,12.06624,-68.86019,5,,T1,E2CW22,E2,61HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,61DRSS
198297,E3CW22,coral_field,12.06624,-68.86019,5,,T1,E3CW22,E3,62HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,62DRSS
198298,E4CW22,coral_field,12.06624,-68.86019,5,,T1,E4CW22,E4,63HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,63DRSS
198299,E5CW22,coral_field,12.06624,-68.86019,5,,T1,E5CW22,E5,64HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,64DRSS
198300,E6CW22,coral_field,12.06624,-68.86019,5,,T1,E6CW22,E6,65HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,65DRSS
198301,E7CW22,coral_field,12.06624,-68.86019,5,,T1,E7CW22,E7,66HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,66DRSS
198302,E8CW22,coral_field,12.06624,-68.86019,5,,T1,E8CW22,E8,67HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,67DRSS
198303,E9CW22,coral_field,12.06624,-68.86019,5,,T1,E9CW22,E9,68HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,68DRSS
198304,E10CW22,coral_field,12.06624,-68.86019,5,,T1,E10CW22,E10,69HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,69DRSS
198305,E11CW22,coral_field,12.06624,-68.86019,5,,T1,E11CW22,E11,70HRSX,22-Nov,Siderastrea siderea,Reef Native,Reef,Reef,Native,Home,70DRSS
198256,A10CW22,coral_field,12.06624,-68.86019,5,,T1,A10CW22,A10,41FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,41DBSS
198257,A11CW22,coral_field,12.06624,-68.86019,5,,T1,A11CW22,A11,42FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,42DBSS
198258,A12CW22,coral_field,12.06624,-68.86019,5,,T1,A12CW22,A12,43FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,43DBSS
198259,B1CW22,coral_field,12.06624,-68.86019,5,,T1,B1CW22,B1,44FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,44DBSS
198260,B2CW22,coral_field,12.06624,-68.86019,5,,T1,B2CW22,B2,45FRSX,22-Nov,Siderastrea siderea,Bay Transplant,Bay,Reef,Transplant,Foreign,45DBSS
